experiment,instance,dataset,n,m,treedepth,time,status,timeout,memory_usage_mb,preprocessing_enabled,mipstart_enabled,lazy_constraints_enabled,gurobi_presolve,encoding_variant,gurobi_objval,gurobi_mip_gap,gurobi_node_count,problem_variables,problem_constraints,graph_density,graph_components,preprocessing_reduction,golden_standard,is_correct,validation_status,error_type
E4_2_baseline,Brinkmann,famous,21,42,12.0,120.132,timeout,True,23.72,True,True,True,2,v1_baseline,12.0,0.4166666666666667,57109,925,1869,0.2,1,0.0,11.0,False,error,timeout_not_optimal
E4_2_baseline,Bull,famous,5,5,3.0,0.021,optimal,False,0.91,True,True,True,2,v1_baseline,3.0,0.0,1,61,120,0.5,1,0.0,3.0,True,correct_optimal,
E4_2_baseline,Butterfly,famous,5,6,3.0,0.005,optimal,False,0.3,True,True,True,2,v1_baseline,3.0,0.0,0,26,46,0.6,1,0.2,3.0,True,correct_optimal,
E4_2_baseline,Chvatal,famous,12,24,8.0,5.681,optimal,False,7.96,True,True,True,2,v1_baseline,8.0,0.0,4821,313,636,0.3636,1,0.0,8.0,True,correct_optimal,
E4_2_baseline,Clebsch,famous,16,40,10.0,32.994,optimal,False,0.0,True,True,True,2,v1_baseline,10.0,0.0,8003,545,1112,0.3333,1,0.0,10.0,True,correct_optimal,
E4_2_baseline,Desargues,famous,20,30,11.0,120.108,timeout,True,8.25,True,True,True,2,v1_baseline,11.0,0.5454545454545454,119907,841,1690,0.1579,1,0.0,9.0,False,error,timeout_not_optimal
E4_2_baseline,Diamond,famous,4,5,3.0,0.0,optimal,False,0.0,True,True,True,2,v1_baseline,3.0,0.0,0,0,0,0.8333,1,0.5,3.0,True,correct_optimal,
E4_2_baseline,Dodecahedron,famous,20,30,10.0,120.109,timeout,True,6.02,True,True,True,2,v1_baseline,10.0,0.4,118017,841,1690,0.1579,1,0.0,9.0,False,error,timeout_not_optimal
E4_2_baseline,Durer,famous,12,18,7.0,2.502,optimal,False,0.0,True,True,True,2,v1_baseline,7.0,0.0,3088,313,630,0.2727,1,0.0,7.0,True,correct_optimal,
E4_2_baseline,Errera,famous,17,45,10.0,120.091,timeout,True,3.79,True,True,True,2,v1_baseline,10.0,0.2,80102,613,1252,0.3309,1,0.0,10.0,False,error,timeout_not_optimal
E4_2_baseline,FlowerSnark,famous,20,30,10.0,120.113,timeout,True,3.28,True,True,True,2,v1_baseline,10.0,0.4,87173,841,1690,0.1579,1,0.0,9.0,False,error,timeout_not_optimal
E4_2_baseline,Folkman,famous,20,40,10.0,120.128,timeout,True,2.74,True,True,True,2,v1_baseline,10.0,0.4,78591,841,1700,0.2105,1,0.0,9.0,False,error,timeout_not_optimal
E4_2_baseline,Franklin,famous,12,18,7.0,4.143,optimal,False,0.0,True,True,True,2,v1_baseline,7.0,0.0,4375,313,630,0.2727,1,0.0,7.0,True,correct_optimal,
E4_2_baseline,Frucht,famous,12,18,6.0,2.008,optimal,False,85.87,True,True,True,2,v1_baseline,6.0,0.0,2444,313,630,0.2727,1,0.0,6.0,True,correct_optimal,
E4_2_baseline,Goldner,famous,11,27,5.0,0.057,optimal,False,0.46,True,True,True,2,v1_baseline,5.0,0.0,1,265,544,0.4909,1,0.0,5.0,True,correct_optimal,
E4_2_baseline,Grotzsch,famous,11,20,7.0,1.163,optimal,False,12.48,True,True,True,2,v1_baseline,7.0,0.0,1343,265,537,0.3636,1,0.0,7.0,True,correct_optimal,
E4_2_baseline,Herschel,famous,11,18,5.0,0.537,optimal,False,1.52,True,True,True,2,v1_baseline,5.0,0.0,263,265,535,0.3273,1,0.0,5.0,True,correct_optimal,
E4_2_baseline,Hoffman,famous,16,32,8.0,79.753,optimal,False,0.0,True,True,True,2,v1_baseline,8.0,0.0,86498,545,1104,0.2667,1,0.0,8.0,True,correct_optimal,
E4_2_baseline,Holt,famous,27,54,22.0,120.154,timeout,True,11.48,True,True,True,2,v1_baseline,22.0,0.7272727272727273,68767,1513,3051,0.1538,1,0.0,,,no_golden_standard,
E4_2_baseline,Kittell,famous,23,63,16.0,120.103,timeout,True,0.0,True,True,True,2,v1_baseline,16.0,0.625,44676,1105,2248,0.249,1,0.0,12.0,False,error,timeout_not_optimal
E4_2_baseline,McGee,famous,24,36,20.0,120.184,timeout,True,6.37,True,True,True,2,v1_baseline,20.0,0.75,65800,1201,2412,0.1304,1,0.0,11.0,False,error,timeout_not_optimal
E4_2_baseline,Moser,famous,7,11,5.0,0.241,optimal,False,0.0,True,True,True,2,v1_baseline,5.0,0.0,10,113,228,0.5238,1,0.0,5.0,True,correct_optimal,
E4_2_baseline,Nauru,famous,24,36,,120.233,failed,True,2.26,True,True,True,2,v1_baseline,,0.0,0,0,0,0.1304,1,0.0,10.0,False,failed,failed_to_solve
E4_2_baseline,Paley13,famous,13,39,10.0,8.763,optimal,False,2.02,True,True,True,2,v1_baseline,10.0,0.0,3639,365,754,0.5,1,0.0,10.0,True,correct_optimal,
E4_2_baseline,Pappus,famous,18,27,9.0,120.096,timeout,True,1.2,True,True,True,2,v1_baseline,9.0,0.3333333333333333,117697,685,1377,0.1765,1,0.0,8.0,False,error,timeout_not_optimal
E4_2_baseline,Petersen,famous,10,15,6.0,0.489,optimal,False,33.85,True,True,True,2,v1_baseline,6.0,0.0,553,221,445,0.3333,1,0.0,6.0,True,correct_optimal,
E4_2_baseline,Pmin,famous,9,12,5.0,0.514,optimal,False,5.02,True,True,True,2,v1_baseline,5.0,0.0,80,181,363,0.3333,1,0.0,5.0,True,correct_optimal,
E4_2_baseline,Poussin,famous,15,39,9.0,15.546,optimal,False,0.0,True,True,True,2,v1_baseline,9.0,0.0,11969,481,984,0.3714,1,0.0,9.0,True,correct_optimal,
E4_2_baseline,Prism,famous,6,9,5.0,0.219,optimal,False,6.93,True,True,True,2,v1_baseline,5.0,0.0,17,85,171,0.6,1,0.0,5.0,True,correct_optimal,
E4_2_baseline,Robertson,famous,19,38,12.0,120.1,timeout,True,0.0,True,True,True,2,v1_baseline,12.0,0.4166666666666667,75220,761,1539,0.2222,1,0.0,10.0,False,error,timeout_not_optimal
E4_2_baseline,Shrikhande,famous,16,48,11.0,120.056,timeout,True,0.0,True,True,True,2,v1_baseline,11.0,0.18181818181818182,50219,545,1120,0.4,1,0.0,11.0,False,error,timeout_not_optimal
E4_2_baseline,Sousselier,famous,16,27,8.0,19.955,optimal,False,4.5,True,True,True,2,v1_baseline,8.0,0.0,22760,545,1099,0.225,1,0.0,8.0,True,correct_optimal,
E4_2_baseline,Tietze,famous,12,18,7.0,7.004,optimal,False,0.0,True,True,True,2,v1_baseline,7.0,0.0,13959,313,630,0.2727,1,0.0,7.0,True,correct_optimal,
E4_2_baseline,Wagner,famous,8,12,6.0,0.234,optimal,False,15.23,True,True,True,2,v1_baseline,6.0,0.0,338,145,292,0.4286,1,0.0,6.0,True,correct_optimal,
E4_2_baseline,Watsin,famous,50,75,35.0,120.209,timeout,True,0.0,True,True,True,2,v1_baseline,35.0,0.8857142857142857,5875,5101,10225,0.0612,1,0.0,,,no_golden_standard,
E4_2_baseline,3x3-grid,standard,9,12,5.0,0.551,optimal,False,15.73,True,True,True,2,v1_baseline,5.0,0.0,80,181,363,0.3333,1,0.0,5.0,True,correct_optimal,
E4_2_baseline,4x4-grid,standard,16,24,7.0,22.955,optimal,False,0.0,True,True,True,2,v1_baseline,7.0,0.0,35835,545,1096,0.2,1,0.0,7.0,True,correct_optimal,
