experiment,instance,dataset,n,m,graph_density,graph_components,mipstart_enabled,lazy_constraints_enabled,gurobi_presolve,encoding_variant,golden_standard,preprocessing_enabled,treedepth,time,status,timeout,problem_variables,problem_constraints,preprocessing_reduction,gurobi_objval,gurobi_mip_gap,gurobi_node_count,memory_usage_mb,is_correct,validation_status,error_type
E4_3_preprocessing,Brinkmann,famous,21,42,0.2,1,True,True,2,v1_baseline,11.0,False,12.0,120.08922791481018,timeout,True,925,1869,0.0,12.0,0.0,0,0.0,False,error,timeout_not_optimal
E4_3_preprocessing,Brinkmann,famous,21,42,0.2,1,True,True,2,v1_baseline,11.0,True,12.0,120.10459113121033,timeout,True,925,1869,0.0,12.0,0.0,0,0.0,False,error,timeout_not_optimal
E4_3_preprocessing,Bull,famous,5,5,0.5,1,True,True,2,v1_baseline,3.0,False,3.0,0.005244016647338867,optimal,False,61,120,0.0,3.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Bull,famous,5,5,0.5,1,True,True,2,v1_baseline,3.0,True,3.0,0.006341695785522461,optimal,False,61,120,0.0,3.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Butterfly,famous,5,6,0.6,1,True,True,2,v1_baseline,3.0,False,3.0,0.006542205810546875,optimal,False,61,121,0.0,3.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Butterfly,famous,5,6,0.6,1,True,True,2,v1_baseline,3.0,True,3.0,0.00500178337097168,optimal,False,26,46,0.19999999999999996,3.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Chvatal,famous,12,24,0.3636,1,True,True,2,v1_baseline,8.0,False,8.0,3.8451642990112305,optimal,False,313,636,0.0,8.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Chvatal,famous,12,24,0.3636,1,True,True,2,v1_baseline,8.0,True,8.0,3.7346954345703125,optimal,False,313,636,0.0,8.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Clebsch,famous,16,40,0.3333,1,True,True,2,v1_baseline,10.0,False,10.0,23.797979831695557,optimal,False,545,1112,0.0,10.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Clebsch,famous,16,40,0.3333,1,True,True,2,v1_baseline,10.0,True,10.0,23.593419551849365,optimal,False,545,1112,0.0,10.0,0.0,0,0.0,True,correct_optimal,
E4_3_preprocessing,Desargues,famous,20,30,0.1579,1,True,True,2,v1_baseline,9.0,False,11.0,120.11845231056213,timeout,True,841,1690,0.0,11.0,0.0,0,0.0,False,error,timeout_not_optimal
E4_3_preprocessing,Desargues,famous,20,30,0.1579,1,True,True,2,v1_baseline,9.0,True,12.0,120.13466906547546,timeout,True,841,1690,0.0,12.0,0.0,0,0.0,False,error,timeout_not_optimal
