instance,dataset,original_n,original_m,no_prep_treedepth,no_prep_time,no_prep_status,no_prep_timeout,no_prep_variables,no_prep_constraints,no_prep_correct,no_prep_validation_status,prep_treedepth,prep_time,prep_status,prep_timeout,prep_variables,prep_constraints,prep_reduction_rate,prep_final_nodes,prep_final_edges,prep_correct,prep_validation_status,golden_value,time_improvement_percent,consistency_status
Brinkmann,famous,21,42,12.0,120.089,timeout,True,925,1869,False,error,12.0,120.105,timeout,True,925,1869,0.0,21,42,False,error,11.0,-0.01,both_wrong
Bull,famous,5,5,3.0,0.005,optimal,False,61,120,True,correct_optimal,3.0,0.006,optimal,False,61,120,0.0,5,5,True,correct_optimal,3.0,-20.93,both_correct_consistent
Butterfly,famous,5,6,3.0,0.007,optimal,False,61,121,True,correct_optimal,3.0,0.005,optimal,False,26,46,0.19999999999999996,4,2,True,correct_optimal,3.0,23.55,both_correct_consistent
Chvatal,famous,12,24,8.0,3.845,optimal,False,313,636,True,correct_optimal,8.0,3.735,optimal,False,313,636,0.0,12,24,True,correct_optimal,8.0,2.87,both_correct_consistent
Clebsch,famous,16,40,10.0,23.798,optimal,False,545,1112,True,correct_optimal,10.0,23.593,optimal,False,545,1112,0.0,16,40,True,correct_optimal,10.0,0.86,both_correct_consistent
Desargues,famous,20,30,11.0,120.118,timeout,True,841,1690,False,error,12.0,120.135,timeout,True,841,1690,0.0,20,30,False,error,9.0,-0.01,both_wrong
Diamond,famous,4,5,3.0,0.005,optimal,False,41,81,True,correct_optimal,3.0,0.001,optimal,False,0,0,0.5,2,0,True,correct_optimal,3.0,80.25,both_correct_consistent
Dodecahedron,famous,20,30,10.0,120.104,timeout,True,841,1690,False,error,10.0,120.111,timeout,True,841,1690,0.0,20,30,False,error,9.0,-0.01,both_wrong
Durer,famous,12,18,7.0,2.837,optimal,False,313,630,True,correct_optimal,7.0,2.777,optimal,False,313,630,0.0,12,18,True,correct_optimal,7.0,2.11,both_correct_consistent
Errera,famous,17,45,10.0,120.077,timeout,True,613,1252,False,error,10.0,120.069,timeout,True,613,1252,0.0,17,45,False,error,10.0,0.01,both_wrong
FlowerSnark,famous,20,30,10.0,120.112,timeout,True,841,1690,False,error,10.0,120.117,timeout,True,841,1690,0.0,20,30,False,error,9.0,-0.0,both_wrong
Folkman,famous,20,40,10.0,120.104,timeout,True,841,1700,False,error,10.0,120.103,timeout,True,841,1700,0.0,20,40,False,error,9.0,0.0,both_wrong
Franklin,famous,12,18,7.0,4.403,optimal,False,313,630,True,correct_optimal,7.0,4.36,optimal,False,313,630,0.0,12,18,True,correct_optimal,7.0,0.98,both_correct_consistent
Frucht,famous,12,18,6.0,2.227,optimal,False,313,630,True,correct_optimal,6.0,2.045,optimal,False,313,630,0.0,12,18,True,correct_optimal,6.0,8.17,both_correct_consistent
Goldner,famous,11,27,5.0,0.067,optimal,False,265,544,True,correct_optimal,5.0,0.065,optimal,False,265,544,0.0,11,27,True,correct_optimal,5.0,2.5,both_correct_consistent
Grotzsch,famous,11,20,7.0,1.257,optimal,False,265,537,True,correct_optimal,7.0,1.247,optimal,False,265,537,0.0,11,20,True,correct_optimal,7.0,0.73,both_correct_consistent
Herschel,famous,11,18,5.0,0.591,optimal,False,265,535,True,correct_optimal,5.0,0.595,optimal,False,265,535,0.0,11,18,True,correct_optimal,5.0,-0.72,both_correct_consistent
