experiment,instance,dataset,size_category,n,m,encoding_variant,variant_description,treedepth,time,status,timeout,preprocessing_enabled,mipstart_enabled,lazy_constraints_enabled,gurobi_presolve,problem_variables,problem_constraints,gurobi_objval,gurobi_mip_gap,gurobi_node_count,graph_density,graph_components,preprocessing_reduction,memory_usage_mb,golden_standard,is_correct,validation_status,error_type
E4_5_variants,Brinkmann,famous,MEDIUM,21,42,v1_baseline,基线编码 - 基础ILP约束,11.0,120.158,timeout,True,False,False,False,2,925,9849,11.0,0.2727272727272727,18802,0.2,1,0.0,0.0,11.0,False,error,timeout_not_optimal
E4_5_variants,Brinkmann,famous,MEDIUM,21,42,v2_explicit_transitivity,显式传递性 - 添加传递性约束,12.0,120.205,timeout,True,False,False,False,2,925,10305,12.0,0.3333333333333333,25140,0.2,1,0.0,0.0,11.0,False,error,timeout_not_optimal
E4_5_variants,Brinkmann,famous,MEDIUM,21,42,v3_tight_bounds,更紧边界 - 增强邻居约束,11.0,120.169,timeout,True,False,False,False,2,925,9870,11.0,0.2727272727272727,22964,0.2,1,0.0,0.0,11.0,False,error,timeout_not_optimal
E4_5_variants,Brinkmann,famous,MEDIUM,21,42,v4_with_symmetry,对称性破缺 - 减少对称解,11.0,120.168,timeout,True,False,False,False,2,925,10515,11.0,0.2727272727272727,21394,0.2,1,0.0,0.0,11.0,False,error,timeout_not_optimal
E4_5_variants,Brinkmann,famous,MEDIUM,21,42,v5_enhanced_constraints,增强约束 - 组合多种改进,12.0,120.136,timeout,True,False,False,False,2,925,10536,12.0,0.3333333333333333,25450,0.2,1,0.0,0.0,11.0,False,error,timeout_not_optimal
E4_5_variants,Brinkmann,famous,MEDIUM,21,42,v6_with_redundant,冗余约束 - 添加额外有效不等式,11.0,120.147,timeout,True,False,False,False,2,925,9849,11.0,0.2727272727272727,20451,0.2,1,0.0,0.0,11.0,False,error,timeout_not_optimal
E4_5_variants,Brinkmann,famous,MEDIUM,21,42,v7_no_preprocessing,无预处理 - 最小约束集,11.0,120.144,timeout,True,False,False,False,2,925,9849,11.0,0.2727272727272727,20442,0.2,1,0.0,0.0,11.0,False,error,timeout_not_optimal
E4_5_variants,Bull,famous,TINY,5,5,v1_baseline,基线编码 - 基础ILP约束,3.0,0.008,optimal,False,False,False,False,2,61,180,3.0,0.0,1,0.5,1,0.0,0.0,3.0,True,correct_optimal,
E4_5_variants,Bull,famous,TINY,5,5,v2_explicit_transitivity,显式传递性 - 添加传递性约束,3.0,0.006,optimal,False,False,False,False,2,61,207,3.0,0.0,1,0.5,1,0.0,0.0,3.0,True,correct_optimal,
E4_5_variants,Bull,famous,TINY,5,5,v3_tight_bounds,更紧边界 - 增强邻居约束,3.0,0.006,optimal,False,False,False,False,2,61,185,3.0,0.0,1,0.5,1,0.0,0.0,3.0,True,correct_optimal,
E4_5_variants,Bull,famous,TINY,5,5,v4_with_symmetry,对称性破缺 - 减少对称解,3.0,0.005,optimal,False,False,False,False,2,61,217,3.0,0.0,1,0.5,1,0.0,0.0,3.0,True,correct_optimal,
