Instance,Depth_Level,Node_Count,Nodes_at_Depth,Percentage
Bull,3,2,"0,2",40.0%
Bull,2,2,"1,4",40.0%
Bull,1,1,3,20.0%
Butterfly,1,1,0,20.0%
Butterfly,2,2,"1,3",40.0%
Butterfly,3,2,"2,4",40.0%
Chvatal,1,1,0,8.3%
Chvatal,2,1,1,8.3%
Chvatal,3,1,2,8.3%
Chvatal,4,1,3,8.3%
Chvatal,7,2,"4,7",16.7%
Chvatal,5,1,5,8.3%
Chvatal,8,4,"6,9,10,11",33.3%
Chvatal,6,1,8,8.3%
Diamond,3,2,"0,1",50.0%
Diamond,1,1,2,25.0%
Diamond,2,1,3,25.0%
Petersen,6,3,"0,1,8",30.0%
Petersen,3,1,2,10.0%
Petersen,2,1,3,10.0%
Petersen,5,3,"4,5,7",30.0%
Petersen,4,1,6,10.0%
Petersen,1,1,9,10.0%
